"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Development of Learning Styles and Multiple Intelligences through Particle Swarm Optimization","F. F. d. Moura; L. M. Franco; S. L. d. Melo; M. A. Fernandes","NA; NA; NA; NA","2013 IEEE International Conference on Systems, Man, and Cybernetics","","2013","","","835","840","Adaptivity is an important aspect in computer based educational environments and one where the building of automated and intelligent systems that support it has been a challenge. In fact, the automatic detection of the pedagogical traits in order to construct a student model that allows inference of the next step in the learning process has been one of the main goals when producing adaptive systems. Learning styles and multiple intelligence theories have been widely used in student modeling to show how a student ad quires knowledge and highlights special learning abilities. Through the bringing together of these two areas of learning a picture of an individual student can be made. This information therefore becomes useful for a tutor to adapt the learning process to the student. It is therefore within this context that this study proposes an innovative method that is driven by the Kolb learning process in order to improve the intelligence percentages by bringing out in each individual those areas in which they excel, but also help in the improvement of the learning process where deficiency is detected. Thus, this method is able to detect and correct automatically the initial self-evaluation. The selection of learning objects during the learning process is carried out by a particle swarm algorithm.","1062-922X","978-1-4799-0652","10.1109/SMC.2013.148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6721900","Learning Styles;Kolb Spiral;Multiple Intelligences;Particle Swarm Optimization","Adaptation models;Adaptive systems;Artificial intelligence;Particle swarm optimization;Visualization;Equations;Mathematical model","computer aided instruction;particle swarm optimisation","learning styles;particle swarm optimization;computer based educational environments;intelligent systems;automated systems;pedagogical traits;adaptive systems;multiple intelligence theories;special learning abilities;Kolb learning process;self-evaluation;particle swarm algorithm","","1","27","","","","","IEEE","IEEE Conferences"
"Adaptive user interface for e-learning applications based on learning styles using Web Logs analysis: A hybrid cloud architecture","S. Kolekar; R. M. Pai; Manohara Pai M. M.","Department of Information and Communication Technology, Manipal Institute of Technology, Manipal University, Karnataka, India; Department of Information and Communication Technology, Manipal Institute of Technology, Manipal University, Karnataka, India; Department of Information and Communication Technology, Manipal Institute of Technology, Manipal University, Karnataka, India","TENCON 2015 - 2015 IEEE Region 10 Conference","","2015","","","1","6","Emerging Cloud Computing technologies are changing the way of deploying and accessing Web applications. E-learning Web application is not excluded from the effect of Cloud. Different e-learning deployment models have been proposed and implemented by researchers. In order to combine both emerging trends, one should understand the requirement of educational institutes for online courses and infrastructure. Institutes should not only focus on providing the various online courses to learners but also emphasize on getting the learner's requirements from the e-learning applications as per their learning styles. With the help of cloud deployment model, institutes can increase the participation of learners for taking online courses. In this paper, the conceptual architecture is proposed which focuses on adaptive e-learning application to provide adaptive interface based on learner's learning styles and deploys the application on hybrid cloud to achieve various non-functional requirements. The paper also discusses about two new e-learning services on cloud such as Learning Styles as a Service and Adaptive Interface as a Service.","2159-3450;2159-3442","978-1-4799-8641-5978-1-4799-8639-2978-1-4799-8640","10.1109/TENCON.2015.7373005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7373005","Cloud Computing;Hybrid Cloud;Adaptive E-learning;Adaptive Interface as a Service;Learning Style as a Service;Felder-Silverman Learning Style Model","Portals;Organizations;Authentication","cloud computing;courseware;educational courses;educational institutions;user interfaces","adaptive user interface;Web log analysis;hybrid cloud architecture;e-learning Web application;educational institutes;online courses;online infrastructure;learner requirements;cloud deployment model;learner participation;adaptive e-Iearning application;leamer learning styles;non-functional requirements;Learning Styles-as-a-Service;Adaptive Interface-as-a-Service","","","20","","","","","IEEE","IEEE Conferences"
"Considering Learning Styles in Learning Management Systems: Investigating the Behavior of Students in an Online Course","S. Graf; K. Kinshuk","Vienna University of Technology; Athabasca University, Canada","2006 First International Workshop on Semantic Media Adaptation and Personalization (SMAP'06)","","2006","","","25","30","Many researchers agree that considering learning styles increases the learning progress and makes learning easier for students. Learning management systems (LMS) are very successful in e-education but do not incorporate learning styles. As a requirement for taking learning styles into consideration in LMS, the behavior of students in online courses needs to be investigated. In this paper, we analyze the behavior of 43 students based on their learning styles and predefined patterns of behavior. Firstly, we concentrated on whether students with different learning style preferences act differently in the course. This information can be used to create courses that include features for each learning style. Secondly, we investigated correlations between the learning style preferences and the behavior of students during the course. These correlations can be use to develop an approach for identifying learning styles in LMS based on students behavior.","","0-7695-2692","10.1109/SMAP.2006.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4041954","","Least squares approximation;Educational technology;Adaptive systems;Content management;Technology management;Educational institutions;Internet;Management information systems;Pattern analysis;Education","","","","20","14","","","","","IEEE","IEEE Conferences"
"Analysis of Learning Preferences and Learning Styles for an Undergraduate Teaching Unit","Y. C. Phung; P. D. D. Dominic; R. Ahmad","Department of EBS, Monash University Malaysia, Selangor, Malaysia; Department of CIS, Universiti Teknologi PETRONAS, Perak Darul Ridzuan, Malaysia; Department of CIS, Universiti Teknologi PETRONAS, Perak Darul Ridzuan, Malaysia","2018 4th International Conference on Computer and Information Sciences (ICCOINS)","","2018","","","1","5","This paper works on a subpart of a research-in-progress framework on students' success, which is an integration of three modules comprise of learning styles, educational data mining and personalized learning. This study looks into the first module of learning styles. We aim to discover and analyze the learning styles and the learning preferences for a class of business students enrolled in a third-year data mining unit in their undergraduate study. Students' learning styles and learning preferences are captured and gathered through surveys. Diagnostic analytics are carried on the compiled data. Data analysis revealed that there is no strong significant relationship between students' learning preference and learning styles, but students do have varying learning styles and a dominant learning style is preferred for the learning of a data mining unit at University.","","978-1-5386-4744-8978-1-5386-4743-1978-1-5386-4745","10.1109/ICCOINS.2018.8510563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8510563","learning style;learning preference;educational data mining;personalized learning;learning object","Education;Instruments;Data mining;Business;Sensors;Correlation;Collaborative work","computer aided instruction;data mining;further education;teaching","learning preferences;learning styles;educational data mining;personalized learning;undergraduate teaching unit","","","25","","","","","IEEE","IEEE Conferences"
"Learning styles comparison based on a classification methodology","J. Solís-Céspedes; J. Espinoza-Guzman","Tec Digital, Instituto Tecnológico de Costa Rica; Tec Digital, Instituto Tecnológico de Costa Rica","2017 Twelfth Latin American Conference on Learning Technologies (LACLO)","","2017","","","1","7","Learning styles have been used to explain students' differences in approaching their learning, but there are still deficiencies in interpreting the results of their application, and there are authors that indicate that there are no elements that support their credibility in achievement-based education. For this reason, we proposed a methodology to analyze the results obtained after the application of the test of learning styles. Our methodology is designed in four steps: identify the population and its characteristics, establish the time for the samples, determine the existing conglomerates in the population and to extract the characteristics of the constructed conglomerates. To evaluate the this aproach, the methodology was applied and validated by the Felder and Silverman's dichotomous test vs its diffuse version in an adult population in continuous formation and we found evidence that there are external aspects to those evaluated by the traditional learning styles instruments that could influence the changes of preferences over time.","","978-1-5386-2376-3978-1-5386-2377","10.1109/LACLO.2017.8120894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120894","Learning Styles;Felder Test;Learning Preferences;Mean Decrease GINI;Classification Process","Instruments;Sociology;Statistics;Electronic mail;Visualization;Computational modeling;Irrigation","computer aided instruction","learning styles comparison;classification methodology;students;Silverman's dichotomous test;adult population;traditional learning styles instruments","","","","","","","","IEEE","IEEE Conferences"
"A flexible approach for providing adaptivity in learning management system based on learning styles","S. Alkhuraiji; B. Cheetham; M. A. Razek; O. Bamasak","School of Computer Science,Manchester, United Kingdom; University of Manchester, United Kingdom; Deanship of E-learning and Distance Education, King Abdulaziz University, Jeddah, Saudi Arabia; Deanship of E-learning and Distance Education, King Abdulaziz University, Jeddah, Saudi Arabia","2012 12th International Conference on Intelligent Systems Design and Applications (ISDA)","","2012","","","718","722","This paper describes our approach to build a dynamic adaptive course in learning management systems based on students' learning styles. Our method aims to adapt the student's learning style by taking the advantage of the previous students taught the same course. To achieve this goal, we present an approach for adaptivity by taking the advantage of information that can be taken from previous students' data record to find similarity between the students. Based on this similarity we can find the next suitable learning style for the current students.","2164-7143;2164-7143;2164-7151","978-1-4673-5119-5978-1-4673-5117-1978-1-4673-5118","10.1109/ISDA.2012.6416625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6416625","Adaptivity;Learning Style;Learning Management System;Moodle","Silicon;Electronic learning;Adaptive systems;Educational institutions;Learning systems;Visualization","computer aided instruction;educational administrative data processing;educational courses","learning management system adaptivity;flexible approach;dynamic adaptive course;student learning styles;student data record","","","13","","","","","IEEE","IEEE Conferences"
"Identification of learning styles and learning domains in Sri Lanka in the development of e-learning content","S. M. Arachchi; M. Siriwardena; R. Madanayake; K. Dias","Department of Communication and Media Technology, University of Colombo School of Computing, 35, Reid Avenue, Colombo 7, Sri Lanka; Department of Communication and Media Technology, University of Colombo School of Computing, 35, Reid Avenue, Colombo 7, Sri Lanka; Department of Communication and Media Technology, University of Colombo School of Computing, 35, Reid Avenue, Colombo 7, Sri Lanka; Department of Communication and Media Technology, University of Colombo School of Computing, 35, Reid Avenue, Colombo 7, Sri Lanka","2010 International Conference on Advances in ICT for Emerging Regions (ICTer)","","2010","","","50","55","The nature of the human being is extremely variable as far as lifelong learning is concerned. With the advent of new technologies such as information technology with e-learning concepts they will get a pretty good learning environment. Different techniques are always being used for learning. That is the temperament of the people. It differs from person to person with respect to the learning purpose, behavior, life style, culture, age, profession and so on. In this the era of e-learning concepts and techniques we should be able to facilitate their learning style and domains. The awareness of learning styles and domain is important in the Sri Lankan context to ease the development of the e-learning content and to enhance the quality of the materials. The focus of this paper however, is on an identification of learning styles and domains within the Sri Lankan community to develop e-learning content to confer the maximum benefit to the end users. Since Sri Lanka is a multi-ethnic country a research has been done considering the above as well. Anyhow one's learning should be oriented towards a common goal what ever the nationality one belongs to. The University of Colombo School of Computing (UCSC) was the pioneer center which focused on e-learning content development in Sri Lanka. It has received a massive grant from JICA with their expertise and their knowledge to develop and train the trainers in the field of e-learning content development in Sri Lanka and the Asian region. The Learner must be able to study more content and also adhere to the self learning style because the country needs more self motivated and confident learners for its future development. This paper will describe the key learning styles and domains within the Sri Lankan community to develop e-learning content for all.","","978-1-4244-9042-4978-1-4244-9041-7978-1-4244-9040","10.1109/ICTER.2010.5643270","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5643270","Identification of learning styles and learning domains in Sri Lanka in the development of e-learning content","Electronic learning;Materials;Analysis of variance;Educational institutions;Training","behavioural sciences;computer based training;distance learning","Sri Lanka;e-learning content development;learning styles identification;information technology;multiethnic country;Asian region;self learning style","","3","12","","","","","IEEE","IEEE Conferences"
"Analysis of Felder-Silverman Index of Learning Styles by a Data-Driven Statistical Approach","S. R. Viola; S. Graf; Kinshuk; T. Leo","Universita' Politecnica delle Marche, Italy; Vienna University of Technology, Austria; Athabasca University, Canada; Universita' Politecnica delle Marche, Italy","Eighth IEEE International Symposium on Multimedia (ISM'06)","","2006","","","959","964","In this paper a data driven analysis of Felder-Silverman index of learning styles (ILS) is given. Results, obtained by multiple correspondence analysis and cross-validated by correlation analysis, show the consistent dependencies between some styles; some latent dimensions present in data, that are unexpected, are discussed. Results are then compared with the ones given by literature concerning validity and reliability of ILS questionnaire. Both the results and the comparisons show the effectiveness of data driven methods for patterns extraction even when unexpected dependencies are found and the importance of coherence and consistency of mathematical representation of data with respect to the methods selected for an effective, precise and accurate modeling","","0-7695-2746","10.1109/ISM.2006.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4061286","","Electronic learning;US Department of Transportation;Educational institutions;Internet;Information systems;Adaptive systems;Data analysis;Data mining;Coherence;Mathematical model","computer aided instruction;statistical analysis","Felder-Silverman index;learning styles;data-driven statistical approach;correlation analysis;patterns extraction","","21","17","","","","","IEEE","IEEE Conferences"
"Tailoring Feedback in Online Assessment: Influence of Learning Styles on the Feedback Preferences and Elaborated Feedback Effectiveness","E. Vasilyeva; P. D. Bra; M. Pechenizkiy; S. Puuronen","NA; NA; NA; NA","2008 Eighth IEEE International Conference on Advanced Learning Technologies","","2008","","","834","838","Design of feedback is a critical issue of online assessment development within Web-based Learning Systems (WBLSs). This paper examines the potential possibilities of tailoring the feedback that is presented to a student as a result of his/her preferences and responses to questions of an online test with respect to the individual learning styles (LS). The paper briefly reviews the main types of feedback that can be presented during online assessment and discusses the challenges in authoring and tailoring of feedback in WBLSs. We report the results of some recent experiments organized as online assessment of students through multiple-choice quizzes in which students were able to request different kinds of feedback for the answered questions. The experimental results have confirmed that LS have a significant influence on (1) the feedback preferences (with regard to response certitude and correctness) of students and (2) the effectiveness of elaborated feedback (EF), i.e. improving studentspsila performance during the test.","2161-3761;2161-377X","978-0-7695-3167","10.1109/ICALT.2008.66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4561845","feedback personalization;feedback effectiveness;learning styles","Testing;Learning systems;Electronic learning;Negative feedback","computer aided instruction;feedback;Internet","online assessment development;Web-based learning systems;learning styles;multiple-choice quizzes;feedback preferences;elaborated feedback","","7","11","","","","","IEEE","IEEE Conferences"
"Oscar: An intelligent conversational agent tutor to estimate learning styles","A. M. Latham; K. A. Crockett; D. A. McLean; B. Edmonds; K. O'Shea","Intelligent Systems Group, Department of Computing &amp; Mathematics, Manchester Metropolitan University, Manchester M1 5GD, UK; Intelligent Systems Group, Department of Computing &amp; Mathematics, Manchester Metropolitan University, Manchester M1 5GD, UK; Intelligent Systems Group, Department of Computing &amp; Mathematics, Manchester Metropolitan University, Manchester M1 5GD, UK; Centre for Policy Modelling, Manchester Metropolitan University, Aytoun Building, Aytoun Street, Manchester M1 3GH, UK; Intelligent Systems Group, Department of Computing &amp; Mathematics, Manchester Metropolitan University, Manchester M1 5GD, UK","International Conference on Fuzzy Systems","","2010","","","1","8","Intelligent tutoring systems are computer learning systems which personalise their learning content for an individual, based on learner characteristics such as existing knowledge. A recent extension to ITS is to capture student learning styles using a questionnaire and adapt subject content accordingly, however students do not always take the time to complete questionnaires carefully. This paper describes Oscar, a conversational intelligent tutoring system (CITS) which utilises a conversational agent to conduct the tutoring. The CITS aims to mimic a human tutor by dynamically estimating and adapting to a student's learning style during a tutoring conversation. Oscar also offers intelligent solution analysis and problem support for learners. By implicitly modelling the student's learning style during tutoring, Oscar can personalise tutoring to each individual learner to improve the effectiveness of the tutoring. The paper presents the novel methodology and architecture for constructing a CITS. An initial pilot study has been conducted in the domain of tutoring of undergraduate Science and Engineering students using the Index of Learning Styles ILS) model. The experiments to investigate the estimation of learning style have produced encouraging results in the estimation of learning style through a tutoring conversation.","1098-7584;1098-7584","978-1-4244-6921-5978-1-4244-6919-2978-1-4244-6920","10.1109/FUZZY.2010.5584064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5584064","","Humans;Databases;Tutorials;Adaptation model;Artificial intelligence;Materials;Pattern matching","intelligent tutoring systems;software agents","Oscar system;learning style estimation;intelligent tutoring systems;conversational agent;tutoring conversation","","19","38","","","","","IEEE","IEEE Conferences"
"Impact of Learning Styles on Student Blogging Behavior","M. Derntl; S. Graf","NA; NA","2009 Ninth IEEE International Conference on Advanced Learning Technologies","","2009","","","369","373","The use of blogs in educational contexts has been gaining popularity in recent years. While there are many case studies already available, few have been investigating the relationship between students' learning styles and their blogging behavior. In this paper, we use the Felder-Silverman learning style model to empirically analyze effects on blogging behavior in an undergraduate computer science course on software architectures and web technologies. While results show that blogging behavior is generally not much affected by learning style, we found some significant differences in the type of participation in blogging activities between active and reflective learners and between sequential and global learners.","2161-3761;2161-377X","978-0-7695-3711","10.1109/ICALT.2009.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5194252","Learning Styles;Blogs;Web 2.0;Technology Enhanced Learning;Computer Science Education","Blogs;Educational technology;Building materials;Information systems;Computer science;Software architecture;Computer science education;Feedback;Instruments;Writing","computer aided instruction;computer science education;educational courses;software architecture;Web sites","student blogging behavior;student learning styles;undergraduate computer science course;software architectures;Web technologies;blogging activities;active learners;reflective learners;global learners;sequential learners","","8","15","","","","","IEEE","IEEE Conferences"
"An Adaptive E-Learning Platform with VARK Learning Styles to Support the Learning of Object Orientation","F. S. Díaz; T. P. Rubilar; C. C. Figueroa; R. M. Silva","Pontificia Universidad Católica de Valparaíso, Escuela de Ingeniería Informática, Valparaíso, Chile; Pontificia Universidad Católica de Valparaíso, Escuela de Ingeniería Informática, Valparaíso, Chile; Pontificia Universidad Católica de Valparaíso, Escuela de Ingeniería Informática, Valparaíso, Chile; Pontificia Universidad Católica de Valparaíso, Escuela de Ingeniería Informática, Valparaíso, Chile","2018 IEEE World Engineering Education Conference (EDUNINE)","","2018","","","1","6","Learning material and adaptive learning are the most important topics when we talk about the learning process of every student. Currently, the biggest problem is that it is not possible for university teachers to help each and every student with every minor problem they have or aspect of the teaching material they do not understand. The aim of this work is propose an adaptive e-learning platform that has three different teaching proposals. The participants are engineering students who are studying subjects of object-oriented programming in Java language and are differentiated with a profile test based on the works of Neil D. Fleming. The subject of inheritance has already been tested in four opportunities showing positive results in chi-square and hypothesis test, where students sustain that their learning process was improved.","","978-1-5386-4889-6978-1-5386-4890","10.1109/EDUNINE.2018.8450990","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450990","adaptive learning material;adaptive learning;e-learning;object oriented programming;Java language","","computer aided instruction;Java;object-oriented programming;teaching","adaptive e-learning platform;VARK learning styles;object orientation;learning material;adaptive learning;student;teaching material;engineering students;object-oriented programming;Java language","","","23","","","","","IEEE","IEEE Conferences"
"A model of identification and adaptation of learning styles based on cognitive inference","V. H. del Salto; V. M. H. Toro; T. S. Arias; C. H. Toro","Universidad T&#x00E9;cnica de Ambato, Facultad de Ciencias Humanas y de la Educaci&#x00F3;n, Ambato, Ecuador; Universidad T&#x00E9;cnica de Ambato, Facultad de Ciencias Humanas y de la Educaci&#x00F3;n, Ambato, Ecuador; Universidad T&#x00E9;cnica de Ambato, Facultad de Ciencias Humanas y de la Educaci&#x00F3;n, Ambato, Ecuador; Universidad de las Am&#x00E9;ricas, Facultad de Salud - Carrera de Medicina, Quito, Ecuador","2017 IEEE 6th International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","","2017","","","490","496","A model of identification of learning styles based on the inference of a cognitive model by means of semantic ontological structures is proposed. The system identifies, controls and proposes changes in the learning model of a teaching system for long distance education with the goal of controlling the fulfillment of a study program of a subject. To prove the benefits of the ontology a teaching-learning process was experimented with in the Universidad Tecnica de Ambato, obtaining improvements in its conceptualization.","2470-6698","978-1-5386-0900-2978-1-5386-0901","10.1109/TALE.2017.8252330","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252330","learning;teaching;styles","5G mobile communication;Conferences;Education","cognition;computer aided instruction;distance learning;ontologies (artificial intelligence);teaching","cognitive inference;cognitive model;semantic ontological structures;learning model;teaching system;long distance education;learning styles identification;teaching-learning process;Universidad Tecnica de Ambato","","","31","","","","","IEEE","IEEE Conferences"
"Exploring relationship between thinking and learning styles an experimental study towards improving learning of theoretical courses in engineering","L. Dhandabani; R. Sukumaran","Department of Computer Science and Engineering, Adithya Institute of Technology, Coimbatore, India; Teaching Learning Centre, Indian Institute of Technology, Chennai, India","2015 International Conference on Computer Communication and Informatics (ICCCI)","","2015","","","1","6","Improvising student's consistent learning becomes a challenge. In order to improve the learning activities among controlled group of engineering students, a customized instructional intervention was provided using MOODLE educational software. However, many students scored `below average' in learning performance assessments. This gave the conclusion that mere usage of technology, pedagogy and content knowledge alone doesn't improve the students' learning skill. Hence, the psychological aspect of an individual learner was considered. In this research work, an attempt has been made to identify learners thinking and learning styles in order to map an appropriate learning technology. The overall objective of our hypothesis is to explore the relationship between thinking and learning style.","","978-1-4799-6805-3978-1-4799-6804-6978-1-4799-6803","10.1109/ICCCI.2015.7218092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7218092","Brain Dominance;Thinking Style;Learning Style;Cognitive process;Data Analysis;Technologies for Learning","Indexes;Psychology;Computers;Informatics;Concrete;Pragmatics;Games","cognition;computer aided instruction;data analysis;educational courses","thinking style identification;learning style identification;theoretical course learning improvement;learning activity improvement;engineering students;customized instructional intervention;MOODLE educational software;learning performance assessments;learning technology;cognitive process;data analysis","","","12","","","","","IEEE","IEEE Conferences"
"Investigating the Effectiveness of an Advanced Adaptive Mechanism for Considering Learning Styles in Learning Management Systems","S. Graf; T. Chang; A. Kersebaum; T. Rath; J. Kurcz","NA; NA; NA; NA; NA","2014 IEEE 14th International Conference on Advanced Learning Technologies","","2014","","","112","116","Blended and online learning becomes more and more popular and learning management systems (LMSs) are used by many educational institutions to host such blended or online courses. However, such LMS typically do not adapt to students' individual characteristics and provide each student with the same content and presentation. Such one-size-fits-all approach does not fit most students particularly well and can lead to low student performance and satisfaction. In this paper, we present a study to evaluate an advanced adaptive mechanism that extends LMSs with adaptive functionality to automatically provide students with courses that fit their learning styles. The results of this study showed two significant benefits of the adaptive mechanism for students: receiving higher grades on adaptive lessons than on non-adaptive ones while spending a similar amount of time on both, and spending less time on adaptive lessons than on non-adaptive ones while receiving on average the same grades. Based on these results, the proposed adaptive mechanism can be seen as an effective extension to LMSs in order to support students in learning.","2161-3761;2161-377X","978-1-4799-4038","10.1109/ICALT.2014.41","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901412","Adaptivity;Learning Styles;Learning Management Systems","Adaptive systems;Educational institutions;Materials;Standards;Conferences;Learning systems","courseware;educational courses;educational institutions;learning management systems","adaptive mechanism;learning styles;learning management systems;blended learning course;online learning course;LMS;educational institutions;student characteristics;student performance;student satisfaction;student grades;adaptive lessons;adaptive functionality","","1","14","","","","","IEEE","IEEE Conferences"
"Predicting Student Performance and Differences in Learning Styles Based on Textual Complexity Indices Applied on Blog and Microblog Posts: A Preliminary Study","E. Popescu; M. Dascalu; A. Becheru; S. Crossley; S. Trausan-Matu","NA; NA; NA; NA; NA","2016 IEEE 16th International Conference on Advanced Learning Technologies (ICALT)","","2016","","","184","188","Social media tools are increasingly popular in Computer Supported Collaborative Learning and the analysis of students' contributions on these tools is an emerging research direction. Previous studies have mainly focused on examining quantitative behavior indicators on social media tools. In contrast, the approach proposed in this paper relies on the actual content analysis of each student's contributions in a learning environment. More specifically, in this study, textual complexity analysis is applied to investigate how student's writing style on social media tools can be used to predict their academic performance and their learning style. Multiple textual complexity indices are used for analyzing the blog and microblog posts of 27 students engaged in a project-based learning activity. The preliminary results of this pilot study are encouraging, with several indexes predictive of student grades and/or learning styles.","2161-377X","978-1-4673-9041-5978-1-4673-9042","10.1109/ICALT.2016.104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7756953","social media;textual complexity analysis;student performance;learning style","Complexity theory;Blogs;Social network services;Writing;Semantics;Collaborative work;Context","computer aided instruction;groupware;Internet;social networking (online);text analysis","learning styles;textual complexity indices;microblog posts;social media tools;computer supported collaborative learning;research direction;quantitative behavior indicators;content analysis;learning environment;textual complexity analysis;project-based learning activity;student grades","","3","29","","","","","IEEE","IEEE Conferences"
"Identifying Learning Styles in Learning Management Systems by Using Indications from Students' Behaviour","S. Graf; Kinshuk; T. Liu","NA; NA; NA","2008 Eighth IEEE International Conference on Advanced Learning Technologies","","2008","","","482","486","Making students aware of their learning styles and presenting them with learning material that incorporates their individual learning styles has potential to make learning easier for students and increase their learning progress. This paper proposes an automatic approach for identifying learning styles with respect to the Felder-Silverman learning style model by inferring their learning styles from their behaviour during they are learning in an online course. The approach was developed for learning management systems, which are commonly used in e-learning. In order to evaluate the proposed approach, a study with 127 students was performed, comparing the results of the automatic approach with those of a learning style questionnaire. The evaluation yielded good results and demonstrated that the proposed approach is suitable for identifying learning styles. By using the proposed approach, studentspsila learning styles can be identified automatically and be used for supporting students by considering their individual learning styles.","2161-3761;2161-377X","978-0-7695-3167","10.1109/ICALT.2008.84","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4561743","learning styles;student modelling;learning management systems","Electronic learning;Collaboration;Feedback;Conference management;Technology management;Performance evaluation;Computer aided instruction;Information systems;Councils;Contracts","computer aided instruction;educational courses;human factors","e-learning management system;individual learning style identification;student behaviour;Felder-Silverman learning style model;online course","","52","13","","","","","IEEE","IEEE Conferences"
"Learning styles identification module for Sakai environment","P. Alves; L. Miranda; C. Morais; E. Alves","Instituto Politécnico de Bragança, Bragança, Portugal; Instituto Politécnico de Bragança, Bragança, Portugal; CIFPEC-Universidade do Minho, Instituto Politécnico de Bragança, Bragança, Portugal; Instituto Politécnico de Bragança, Bragança, Portugal","7th Iberian Conference on Information Systems and Technologies (CISTI 2012)","","2012","","","1","6","We live essentially in a technological world in which technology facilitates and promotes the development of institutions and people that work or study. Thus, it is argued that technology meets people's needs, taking into account their objectives, interests and learning styles. In this article, with a perspective to improve teaching and learning, beyond the conceptualization of learning styles and learning management systems, is presented the integration of a learning styles identification module, based on CHAEA questionnaire, into the Sakai collaborative learning environment adopted in the authors' institution.","2166-0735;2166-0727;2166-0727","978-989-96247-7-1978-1-4673-2843-2978-989-96247-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6263115","Collaborative Learning Environments;Sakai;Learning Styles","Electronic learning;Open source software;Java;Kernel;Collaborative work;Internet;Educational institutions","computer aided instruction;groupware;teaching","learning styles identification module;teaching;learning management systems;CHAEA questionnaire;Sakai collaborative learning environment","","","20","","","","","IEEE","IEEE Conferences"
"Clustering learning objects in the IEEE-LOM standard considering learning styles to support customized recommendation systems in educational environments","M. M. Mendes; V. C. Carvalho; R. D. Araújo; F. A. Dorça; R. G. Cattelan","Faculdade de Computação, Universidade Federal de Uberlândia, Brazil; Faculdade de Computação, Universidade Federal de Uberlândia, Brazil; Faculdade de Computação, Universidade Federal de Uberlândia, Brazil; Faculdade de Computação, Universidade Federal de Uberlândia, Brazil; Faculdade de Computação, Universidade Federal de Uberlândia, Brazil","2017 Twelfth Latin American Conference on Learning Technologies (LACLO)","","2017","","","1","8","Adapting an educational environment to students considering its features and individuals is a necessity due to the large amount of learning objects in the repositories. Thus, organizing learning objects so that they can be efficiently recommended is a real need. In this way, this work presents a proposal for clustering learning objects in repositories considering the learning styles they support, in order to facilitate the content recommendation process based on students' learning styles. For this, a comparative analysis of clustering techniques was performed, and the most efficient was used in the implementation of this approach. Experiments were conducted and promising results were obtained.","","978-1-5386-2376-3978-1-5386-2377","10.1109/LACLO.2017.8120898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120898","learning objects;learning styles;adaptive educational systems;clustering;learning environment;lom field","Adaptation models;Visualization;Standards;Electronic mail;Proposals;Adaptive systems;Image resolution","computer aided instruction;pattern clustering;recommender systems","learning styles;content recommendation process;students;clustering techniques;IEEE-LOM standard;customized recommendation systems;educational environment;repositories;learning objects clustering","","1","","","","","","IEEE","IEEE Conferences"
